,t,c_slope,c_slope_p,dv_eff,ACME,ADE,TE,PropMA,ACME_p,ADE_p,TE_p,PropMA_p
1,0.025,0.028977729,0.107728661,0,0.002250984,0.019336023,0.021587007,0.089792615,0.436,0.146,0.116,0.508
2,0.075,-0.002232824,0.901631111,0,0.00132677,-0.006382334,-0.005055564,-0.034656968,0.62,0.684,0.718,0.898
3,0.125,0.016444204,0.361577615,0,-0.001772767,0.013882139,0.012109372,-0.064032932,0.528,0.304,0.364,0.728
4,0.175,0.005039851,0.779619379,0,-0.009405186,0.015699287,0.006294101,-0.473470604,0,0.25,0.636,0.636
5,0.225,0.028387482,0.114669611,0,-0.006505152,0.029406006,0.022900854,-0.263913957,0.016,0.034,0.092,0.108
6,0.275,0.011300391,0.530537994,0,-0.001898408,0.013558371,0.011659964,-0.080845049,0.508,0.31,0.372,0.696
7,0.325,0.037884469,0.035500863,0,0.001327477,0.030069898,0.031397374,0.044053908,0.656,0.02,0.014,0.658
8,0.375,0.030055979,0.094966614,0,0.005098993,0.013599378,0.018698371,0.228369289,0.084,0.354,0.17,0.238
9,0.425,0.033383852,0.06375154,0,0.004770595,0.014177418,0.018948013,0.208911757,0.096,0.324,0.16,0.24
10,0.475,0.018473195,0.304661696,0,0.00281692,0.015713798,0.018530717,0.124051262,0.276,0.266,0.166,0.41
11,0.525,0.04053694,0.024247741,0,-0.000749516,0.026073917,0.025324401,-0.029185445,0.814,0.068,0.068,0.818
12,0.575,0.005001394,0.781003123,0,0.001510459,-0.000777888,0.000732571,-0.001222518,0.56,0.942,0.974,0.99
13,0.625,0.02925001,0.104392153,0,0.00180992,0.023860752,0.025670672,0.06767998,0.524,0.078,0.064,0.536
14,0.675,0.03122101,0.082537135,0,0.004622561,0.022315067,0.026937628,0.155961543,0.092,0.124,0.06,0.152
15,0.725,0.018610418,0.298931489,0,0.003811987,0.024824247,0.028636234,0.131268737,0.166,0.078,0.032,0.194
16,0.775,0.035335968,0.048052924,0,0.005368262,0.031506092,0.036874354,0.144186371,0.06,0.016,0.006,0.062
17,0.825,0.014586482,0.415138176,0,0.006239698,0.01300272,0.019242418,0.280563639,0.024,0.332,0.148,0.172
18,0.875,-0.003178089,0.859958081,0,0.007970896,0.00482861,0.012799506,0.44178484,0.002,0.746,0.312,0.31
19,0.925,-0.003995983,0.824947706,0,0.00662943,0.003848185,0.010477614,0.31020455,0.014,0.824,0.494,0.508
20,0.975,-0.002315238,0.898016273,0,0.008313847,0.005626864,0.013940712,0.429923046,0.002,0.64,0.278,0.28
21,1.025,0.001432604,0.936801357,0,0.007383223,0.001217693,0.008600916,0.360025492,0.006,0.938,0.56,0.566
22,1.075,0.017255101,0.33951168,0,0.004515228,0.019892485,0.024407714,0.171761456,0.098,0.16,0.07,0.164
23,1.125,0.007613803,0.673342583,0,0.003433037,0.020925928,0.024358966,0.132321556,0.206,0.112,0.078,0.256
24,1.175,0.018090936,0.315968407,0,0.003959541,0.015494734,0.019454275,0.166925039,0.176,0.276,0.16,0.3
25,1.225,0.016906873,0.347665301,0,0.003790477,0.031900075,0.035690552,0.103629616,0.172,0.014,0.006,0.178
26,1.275,0.021761243,0.225704515,0,0.005550106,0.018017202,0.023567308,0.209794678,0.054,0.19,0.082,0.132
27,1.325,0.016189306,0.367270165,0,0.005003544,0.015102657,0.020106201,0.21417743,0.08,0.28,0.146,0.222
28,1.375,-0.003768027,0.833910515,0,0.005882691,0.015021774,0.020904465,0.250419301,0.036,0.258,0.122,0.154
29,1.425,0.021788321,0.225576369,0,-0.001132562,0.01471193,0.013579368,-0.056682161,0.68,0.286,0.314,0.77
30,1.475,-0.01287,0.474295583,0,0.004183937,0.003520825,0.007704762,0.18601004,0.134,0.796,0.56,0.638
31,1.525,0.018351625,0.307936214,0,-0.001539988,0.006257031,0.004717043,-0.057451945,0.54,0.672,0.73,0.846
32,1.575,-0.004955175,0.783493161,0,0.000349218,0.003984181,0.004333399,0.014201087,0.856,0.768,0.756,0.976
33,1.625,0.020582502,0.254005101,0,-0.000412723,0.012727135,0.012314412,-0.014732155,0.868,0.366,0.354,0.918
34,1.675,-0.014709138,0.415234333,0,0.004173054,-0.00425872,-8.57E-05,0.005910209,0.126,0.748,0.992,0.998
35,1.725,0.02656346,0.141003624,0,0.001382319,0.014038995,0.015421314,0.050864516,0.6,0.342,0.27,0.75
36,1.775,-0.00985127,0.58535022,0,0.002618653,-0.002034362,0.000584291,0.00830412,0.346,0.874,0.996,0.982
37,1.825,0.039414341,0.028129072,0,0.005840454,0.01714568,0.022986134,0.229463805,0.034,0.216,0.098,0.128
38,1.875,0.032805053,0.068338217,0,-0.000702868,0.020856888,0.020154019,-0.031361781,0.802,0.13,0.142,0.824
39,1.925,0.019448697,0.2804268,0,0.003385295,0.023746114,0.027131409,0.110952331,0.224,0.108,0.064,0.284
40,1.975,0.027665175,0.125335236,0,0.002903994,0.020617033,0.023521027,0.110722645,0.292,0.148,0.1,0.356
41,2.025,0.025977663,0.150075815,0,0.002211689,0.031166681,0.033378369,0.06605266,0.416,0.02,0.01,0.422
42,2.075,0.005973417,0.74083465,0,-0.000597526,0.0122706,0.011673074,-0.026065737,0.814,0.39,0.416,0.886
43,2.125,0.005117091,0.776738585,0,-0.005358828,0.016722344,0.011363516,-0.294577456,0.06,0.204,0.37,0.418
44,2.175,0.000371727,0.983583553,0,-0.003740604,0.001235602,-0.002505003,0.107993289,0.158,0.954,0.824,0.858
45,2.225,0.017369553,0.336314814,0,-0.003019509,0.012370562,0.009351053,-0.132538523,0.262,0.38,0.498,0.644
46,2.275,0.022274006,0.217444474,0,-0.001174295,0.005974694,0.004800399,-0.016341397,0.648,0.68,0.748,0.944
47,2.325,0.014168298,0.432880177,0,0.001602752,0.013550818,0.01515357,0.06965324,0.546,0.32,0.27,0.656
48,2.375,0.023229946,0.198096147,0,0.000438836,0.014135043,0.014573879,0.012430121,0.894,0.334,0.298,0.924
49,2.425,0.009720893,0.5893233,0,-0.000491567,0.010641335,0.010149768,-0.020668561,0.85,0.46,0.446,0.924
50,2.475,0.025393161,0.159235044,0,-0.000675294,0.026498663,0.025823369,-0.021788518,0.818,0.062,0.066,0.836
51,2.525,0.014719734,0.413026329,0,-0.004273087,0.018521703,0.014248616,-0.185300109,0.124,0.186,0.326,0.418
52,2.575,-0.00046192,0.979566903,0,-0.0001478,0.009526146,0.009378347,-0.005934658,0.948,0.5,0.492,0.972
53,2.625,0.023512182,0.18979857,0,-0.001955196,0.020475938,0.018520742,-0.080761136,0.49,0.13,0.176,0.574
